from,to,description
6,16,Thành lập Khoa Công nghệ Thông tin thuộc Trường Đại KHTN ĐHQGHN
3,14,Thành lập Đại học Tổng hợp Hà Nội trên cơ sở Đại học Văn Khoa Hà Nội
7,16,Thành lập Khoa Công nghệ - Điện tử viễn thông ĐHKHTN ĐHQGHN
8,5,Thành lập Khoa Công nghệ ĐHQGHN
10,3,Khoa Kinh tế Chính trị trực thuộc Trường Đại học Tổng hợp Hà Nội
11,15,Khoa Kinh tế,Khoa Kinh tế trực thuộc Trường Đại học Khoa học Xã hội và Nhân văn - ĐHQGHN
12,4,Khoa Kinh tế trực thuộc ĐHQGHN
15,4,Đại học Khoa học Xã hội và Nhân văn ĐHQGHN
16,4,Đại học Khoa học tự nhiên ĐHQGHN
18,4,Đại học Ngoại ngữ ĐHQGHN
19,4,Khoa Sư phạm ĐHQGHN
